Date,Predicted Petrol Price (USD)
2025-05-05,3.1338489826264135
2025-05-06,3.150037135240227
2025-05-07,3.161333179840819
2025-05-08,3.168448107106582
2025-05-09,3.177948555045807
2025-05-10,3.1898137438875045
2025-05-11,3.2035452748707645
2025-05-12,3.215074623143047
2025-05-13,3.224586487895902
2025-05-14,3.234211007282528
2025-05-15,3.244340403736864
2025-05-16,3.255197324353892
2025-05-17,3.267048435907199
2025-05-18,3.279952627419209
2025-05-19,3.28817251667445
2025-05-20,3.298700242925145
2025-05-21,3.3084725350304414
2025-05-22,3.3176278464030746
2025-05-23,3.3277572384711602
2025-05-24,3.335472530763771
2025-05-25,3.3424212055875717
2025-05-26,3.3491054287374533
2025-05-27,3.3537237827460045
2025-05-28,3.3606015631474597
2025-05-29,3.372631988187729
2025-05-30,3.3775986292197597
